,ID,well,formacion,E_Brent,D_Dec,year,FC_T
31,31,CC01,INT_GUAFITA,70,n_well,0,"[('3613.1609'), ('2544.3623'), ('1774.8678'), ('1221.0204'), ('810.7679'), ('526.923'), ('295.6197'), ('137.0787'), ('9.3451'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
32,32,CC01,INT_GUAFITA,80,n_well,0,"[('4256.1186'), ('3011.7987'), ('2118.1668'), ('1473.4135'), ('997.9049'), ('666.3925'), ('400.3341'), ('215.6024'), ('68.6204'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
33,33,CC01,INT_GUAFITA,90,n_well,0,"[('4899.0762'), ('3479.2351'), ('2461.4657'), ('1725.8066'), ('1185.0418'), ('805.862'), ('505.0486'), ('294.1262'), ('127.8957'), ('11.6451'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
34,34,CC01,INT_GUAFITA,100,n_well,0,"[('5542.0339'), ('3946.6715'), ('2804.7647'), ('1978.1998'), ('1372.1788'), ('945.3316'), ('609.763'), ('372.65'), ('187.171'), ('56.5506'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
35,35,CC01,INT_GUAFITA,40,sin_fijo,0,"[('1882.3297'), ('1337.6872'), ('952.4005'), ('670.408'), ('467.918'), ('320.006'), ('212.0728'), ('130.8913'), ('71.1633'), ('26.5738'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
36,36,CC01,INT_GUAFITA,50,sin_fijo,0,"[('2525.2874'), ('1805.1236'), ('1295.6995'), ('922.8011'), ('655.055'), ('459.4755'), ('316.7873'), ('209.4151'), ('130.4386'), ('71.4792'), ('27.5772'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
37,37,CC01,INT_GUAFITA,60,sin_fijo,0,"[('3168.245'), ('2272.56'), ('1638.9984'), ('1175.1942'), ('842.1919'), ('598.9451'), ('421.5017'), ('287.9388'), ('189.7138'), ('116.3847'), ('61.8041'), ('22.9304'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
38,38,CC01,INT_GUAFITA,70,sin_fijo,0,"[('3811.2027'), ('2739.9964'), ('1982.2974'), ('1427.5874'), ('1029.3289'), ('738.4146'), ('526.2162'), ('366.4626'), ('248.9891'), ('161.2902'), ('96.0311'), ('49.5223'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
39,39,CC01,INT_GUAFITA,80,sin_fijo,0,"[('4454.1604'), ('3207.4328'), ('2325.5963'), ('1679.9805'), ('1216.4658'), ('877.8841'), ('630.9306'), ('444.9863'), ('308.2644'), ('206.1957'), ('130.2581'), ('76.1141'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
40,40,CC01,INT_GUAFITA,90,sin_fijo,0,"[('5097.118'), ('3674.8692'), ('2668.8953'), ('1932.3736'), ('1403.6028'), ('1017.3536'), ('735.6451'), ('523.5101'), ('367.5397'), ('251.1011'), ('164.485'), ('102.706'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
