,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
20,20,NW10NA,CANO_RONDON,sin_socio,50,pesimista,0.2,"[Decimal('0'), Decimal('5598.6567'), Decimal('610.1027'), Decimal('3606.063'), Decimal('1794.2843'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
21,21,NW10NA,CANO_RONDON,sin_socio,60,pesimista,0.2,"[Decimal('0'), Decimal('6694.3731'), Decimal('1887.022'), Decimal('4231.2326'), Decimal('2115.2376'), Decimal('1086.7438'), Decimal('486.5172'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
22,22,NW10NA,CANO_RONDON,sin_socio,70,pesimista,0.2,"[Decimal('0'), Decimal('7790.0895'), Decimal('3163.9412'), Decimal('4856.4023'), Decimal('2436.1908'), Decimal('1258.6424'), Decimal('569.0625'), Decimal('290.7192'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
23,23,NW10NA,CANO_RONDON,sin_socio,80,pesimista,0.2,"[Decimal('0'), Decimal('8885.8058'), Decimal('4440.8604'), Decimal('5481.5719'), Decimal('2757.144'), Decimal('1430.5409'), Decimal('651.6077'), Decimal('337.3324'), Decimal('178.5733'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
24,24,NW10NA,CANO_RONDON,sin_socio,90,pesimista,0.2,"[Decimal('0'), Decimal('9981.5222'), Decimal('5717.7796'), Decimal('6106.7415'), Decimal('3078.0973'), Decimal('1602.4395'), Decimal('734.1529'), Decimal('383.9456'), Decimal('207.3486'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
25,25,NW10NA,CANO_RONDON,sin_socio,50,probable,-0.2,"[Decimal('0'), Decimal('5598.6567'), Decimal('-4800.0567'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
26,26,NW10NA,CANO_RONDON,sin_socio,60,probable,-0.2,"[Decimal('0'), Decimal('6694.3731'), Decimal('-2975.8864'), Decimal('4573.6008'), Decimal('2278.9399'), Decimal('1154.6417'), Decimal('503.9783'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
27,27,NW10NA,CANO_RONDON,sin_socio,70,probable,-0.2,"[Decimal('0'), Decimal('7790.0895'), Decimal('-1616.8636'), Decimal('5269.2927'), Decimal('2648.1629'), Decimal('1372.172'), Decimal('621.9001'), Decimal('307.4297'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
28,28,NW10NA,CANO_RONDON,sin_socio,80,probable,-0.2,"[Decimal('0'), Decimal('8885.8058'), Decimal('-339.9444'), Decimal('5894.4623'), Decimal('2969.1161'), Decimal('1544.0705'), Decimal('706.1243'), Decimal('368.1179'), Decimal('188.5059'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
29,29,NW10NA,CANO_RONDON,sin_socio,90,probable,-0.2,"[Decimal('0'), Decimal('9981.5222'), Decimal('936.9748'), Decimal('6519.632'), Decimal('3290.0693'), Decimal('1715.9691'), Decimal('788.6696'), Decimal('414.731'), Decimal('226.3531'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
30,30,NW10NA,CANO_RONDON,sin_socio,50,probable,-0.1,"[Decimal('0'), Decimal('5598.6567'), Decimal('-3761.2744'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
31,31,NW10NA,CANO_RONDON,sin_socio,60,probable,-0.1,"[Decimal('0'), Decimal('6694.3731'), Decimal('-2010.7652'), Decimal('4567.8619'), Decimal('2278.9399'), Decimal('1154.6417'), Decimal('503.9783'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
32,32,NW10NA,CANO_RONDON,sin_socio,70,probable,-0.1,"[Decimal('0'), Decimal('7790.0895'), Decimal('-733.8459'), Decimal('5193.0316'), Decimal('2609.0115'), Decimal('1351.203'), Decimal('613.5098'), Decimal('307.4297'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
33,33,NW10NA,CANO_RONDON,sin_socio,80,probable,-0.1,"[Decimal('0'), Decimal('8885.8058'), Decimal('543.0733'), Decimal('5818.2012'), Decimal('2929.9647'), Decimal('1523.1016'), Decimal('696.0551'), Decimal('362.4318'), Decimal('188.5059'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
34,34,NW10NA,CANO_RONDON,sin_socio,90,probable,-0.1,"[Decimal('0'), Decimal('9981.5222'), Decimal('1819.9925'), Decimal('6443.3708'), Decimal('3250.918'), Decimal('1695.0001'), Decimal('778.6003'), Decimal('409.0449'), Decimal('222.8429'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
35,35,NW10NA,CANO_RONDON,sin_socio,50,probable,0,"[Decimal('0'), Decimal('5598.6567'), Decimal('-2722.4922'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
36,36,NW10NA,CANO_RONDON,sin_socio,60,probable,0,"[Decimal('0'), Decimal('6694.3731'), Decimal('-1127.7475'), Decimal('4491.6008'), Decimal('2248.9069'), Decimal('1154.6417'), Decimal('503.9783'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
37,37,NW10NA,CANO_RONDON,sin_socio,70,probable,0,"[Decimal('0'), Decimal('7790.0895'), Decimal('149.1717'), Decimal('5116.7704'), Decimal('2569.8601'), Decimal('1330.234'), Decimal('603.4406'), Decimal('307.4297'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
